RTCData,RTCHora,GPSData,GPSHora,Lat,Long,Altgps,Vel,GPSUpdate,Ax,Ay,Az,Gx,Gy,Gz,indiceAmostra,LatLogger,LongLogger,ElevationLogger,DataLogger,HoraLogger,SpeedLogger,SatellitesLogger,Seconds,LatInter,LongInter,Ax_SMA,Ay_SMA,Az_SMA,Gx_SMA,Gy_SMA,Gz_SMA,Ax_Butter,Ay_Butter,Az_Butter,Gx_Butter,Gy_Butter,Gz_Butter,Ax_Comp,Ay_Comp,Az_Comp,Gx_Comp,Gy_Comp,Gz_Comp
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,0.0,-0.98,0.06,1,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.74469721,-38.57741417,-0.078,0.036,-1.04,-0.4640000000000001,-0.8300000000000001,0.086,-0.0768619627734086,0.03537701442374014,-1.0374555928302756,-0.15030605035165384,-0.8268543929840741,0.02965717602381586,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,0.0,-0.9603999999999999,0.0588
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.31,-0.85,-0.06,2,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744697159,-38.577414104,-0.078,0.036000000000000004,-1.0379999999999998,-0.44000000000000006,-0.866,-0.012,-0.08118707429487167,0.034944039402781096,-1.034249831589069,-0.22353844066532796,-0.9288840794159133,-0.017149923795832092,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.3038,-0.833,-0.0588
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.49,-0.92,0.06,3,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744697108,-38.577414038,-0.078,0.034,-1.0379999999999998,-0.41600000000000004,-0.842,0.012,-0.08055717853580885,0.034652569966006234,-1.0347286897849028,-0.4984130538442965,-0.8991770483799807,-0.00045436689216993374,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.48019999999999996,-0.9016000000000001,0.0588
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.49,-0.85,0.0,4,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744697057,-38.577413972,-0.078,0.036,-1.036,-0.38,-0.842,0.0,-0.0787892309635884,0.035348989516112365,-1.035712602307301,-0.510465508159062,-0.8712229509933045,0.06239826965722425,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.48019999999999996,-0.833,0.0
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.43,-0.92,0.06,5,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744697006,-38.577413906,-0.08,0.033999999999999996,-1.036,-0.34400000000000003,-0.9039999999999999,0.024,-0.08055411226080586,0.03525893435332867,-1.034385690187852,-0.4236773328355736,-0.8836997586661354,0.02741924673345461,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.4214,-0.9016000000000001,0.0588
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.55,-0.85,0.0,6,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744696955,-38.57741384,-0.08,0.036,-1.034,-0.454,-0.8779999999999999,0.012,-0.08118715103779711,0.03414713658248805,-1.0345210156206497,-0.532435055705897,-0.8658867425261629,-0.037164400606118,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.539,-0.833,0.0
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.55,-0.85,-0.12,7,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744696904,-38.577413774,-0.08,0.033999999999999996,-1.036,-0.502,-0.8779999999999999,0.0,-0.07686736667386822,0.03510528616021841,-1.0377140811545682,-0.5982567072792861,-0.875964896528822,0.005960087369556915,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.539,-0.833,-0.1176
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.07,0.04,-1.04,-0.55,-0.92,0.24,8,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744696853,-38.577413708,-0.078,0.036,-1.036,-0.514,-0.8779999999999999,0.036,-0.07391401383284878,0.03781278407196851,-1.040002814596778,-0.4598319655565743,-0.8840352532891711,0.05649293450011322,-0.0014000000000000013,0.0008000000000000007,-0.02080000000000002,-0.539,-0.9016000000000001,0.2352
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.31,-0.79,-0.18,9,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744696802,-38.577413642,-0.078,0.036000000000000004,-1.038,-0.47800000000000004,-0.866,0.0,-0.07713740625259817,0.03795378635704255,-1.0406643955283905,-0.4209984131794224,-0.7890382879026951,-0.01162737278335547,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.3038,-0.7742,-0.1764
2024-04-09,10:14:32,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.61,-0.67,0.0,10,-3.74469721,-38.57741417,17.14,2024-04-09,10:14:32,0.0,33,36872.0,-3.744696751,-38.577413576,-0.078,0.036000000000000004,-1.038,-0.514,-0.8160000000000001,-0.012,-0.08086883782054038,0.03541425360301183,-1.040691043605933,-0.5353733346239282,-0.7096167885287962,-0.08224236328407274,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.5978,-0.6566000000000001,0.0
